StackID,badge_score
883,47
782,41
58,361
3394,371
1486,119
1785,384
1882,58
72,279
437,422
3972,32
1291,118
825,305
755,271
2653,257
390,58
5304,184
3619,323
2958,139
4332,198
5595,23
2667,31
6366,85
3797,536
2688,407
4227,542
4040,61
448,67
3947,72
3757,222
1200,374
114,45
1694,739
799,107
1063,99
2697,133
660,22
4727,198
4977,268
1915,127
1946,434
614,40
619,116
2384,59
1278,172
87,66
60,333
106,158
4169,8
2730,44
582,905
2310,19
893,3167
4120,280
598,289
949,59
4953,2
1798,15
6260,136
5731,167
974,410
947,55
813,544
560,91
1804,48
156,216
5004,197
2030,177
6212,285
1574,474
2056,95
267,1742
1900,146
4582,58
1585,386
2972,290
456,307
4300,70
1985,8
2867,33
699,259
2836,139
1537,77
1026,228
457,98
2774,189
2168,155
5235,65
5830,46
4007,203
121,114
1107,104
2696,116
111,90
52,93
729,100
1726,139
2593,57
3713,465
3381,355
3694,66
4140,209
1851,40
183,39
2911,27
4839,11
1754,72
399,71
2729,123
2066,97
1323,117
2876,34
265,46
6010,212
2453,44
274,322
6209,41
3436,44
4927,40
1546,105
946,167
29,558
3827,645
4118,59
2443,678
4642,144
4189,91
758,313
5700,88
869,87
400,11
75,144
1425,68
2968,4
878,67
4911,69
2848,33
5627,80
1969,136
767,245
1384,122
208,237
2448,4
5577,142
4558,72
845,58
4272,70
3207,313
1800,11
3415,187
4657,120
2947,82
161,98
4086,718
4144,204
338,550
40,175
2967,50
648,173
1912,462
2908,480
149,160
1016,120
2025,435
5355,99
4897,48
3467,150
3572,55
842,356
5434,14
2213,88
1786,517
5738,20
2272,46
6065,35
77,225
3663,11
3404,91
2469,477
6056,37
358,148
4308,136
3059,62
2598,868
586,55
71,300
1771,66
198,143
1554,213
1573,40
1432,366
3624,76
4187,19
3453,62
3850,165
1405,103
322,179
1768,398
5834,151
1891,270
1868,33
5314,325
6364,100
2759,46
1055,10
1238,39
410,84
2820,229
2238,305
2214,328
2646,28
2220,65
4500,135
5616,93
173,31
3111,171
2131,122
188,195
1297,74
4048,59
1042,175
11,29
5193,63
3971,28
2812,81
6264,242
4828,117
2270,36
4827,16
2457,156
6369,257
2642,14
6330,405
1203,45
57,10
395,21
1720,38
6193,107
4835,55
2339,59
912,323
2727,37
1214,41
5675,146
2595,60
3904,97
2799,153
3238,160
1081,35
1823,9
2327,103
712,138
4986,3
4046,20
5361,11
881,12
1864,2
5341,76
2671,82
1263,41
3245,13
3410,94
6380,226
6449,43
6436,65
6580,119
6600,91
6563,49
6512,223
6713,87
6678,147
6819,525
7049,61
6726,122
6616,48
7147,41
7671,362
6906,20
7530,22
7492,53
7432,650
