"_id","name","features__1C Enterprise","features__DM","features__Mercury","features__POV-Ray SDL","features__Rebol","features__Kotlin","features__GLSL","features__WebAssembly","features__Logos","features__Objective-C++","features__Elm","features__Nix","features__Eagle","features__M4","features__Verilog","features__C","features__Dylan","features__Hy","features__Metal","features__SRecode Template","features__Mathematica","features__SMT","features__LLVM","features__P4","features__HLSL","features__M","features__Clarion","features__E","features__Ragel in Ruby Host","features__D","features__Liquid","features__OpenSCAD","features__Lean","features__Mask","features__Mako","features__TypeScript","features__Awk","features__Racket","features__Objective-C","features__Bison","features__Mirah","features__SourcePawn","features__Pony","features__ASP","features__HTML","features__Xtend","features__Augeas","features__Hack","features__Brainfuck","features__IGOR Pro","features__Redcode","features__Julia","features__Handlebars","features__ColdFusion","features__Harbour","features__Vue","features__Cuda","features__APL","features__Elixir","features__Arduino","features__LabVIEW","features__NSIS","features__Csound","features__Batchfile","features__Oz","features__Agda","features__KRL","features__API Blueprint","features__eC","features__Puppet","features__QML","features__Clean","features__Smalltalk","features__Factor","features__Go","features__Diff","features__Shen","features__Objective-J","features__CMake","features__AMPL","features__Game Maker Language","features__PostScript","features__XS","features__Visual Basic","features__Erlang","features__PHP","features__LilyPond","features__Cirru","features__Vala","features__Shell","features__Monkey","features__Parrot","features__WebIDL","features__Brightscript","features__AutoHotkey","features__Nim","features__XProc","features__Assembly","features__Roff","features__MAXScript","features__Nginx","features__Emacs Lisp","features__Self","features__Python","features__RenderScript","features__Turing","features__XC","features__ShaderLab","features__Stan","features__LSL","features__LiveScript","features__Jasmin","features__Pascal","features__DTrace","features__Max","features__xBase","features__AppleScript","features__Inno Setup","features__Forth","features__Eiffel","features__XQuery","features__Omgrofl","features__Groff","features__Scheme","features__Module Management System","features__Common Lisp","features__Dart","features__Ruby","features__Gettext Catalog","features__PigLatin","features__Nemerle","features__AspectJ","features__Coq","features__XML","features__SystemVerilog","features__Modula-2","features__Gherkin","features__PLpgSQL","features__Matlab","features__Limbo","features__Stata","features__Slash","features__PicoLisp","features__Protocol Buffer","features__Fantom","features__PAWN","features__Pike","features__Thrift","features__Groovy","features__Zimpl","features__PowerShell","features__Bro","features__block","features__Vim script","features__Alloy","features__Scilab","features__HCL","features__JavaScript","features__LOLCODE","features__ooc","features__Pure Data","features__IDL","features__Clojure","features__Csound Document","features__C++","features__Component Pascal","features__MoonScript","features__AGS Script","features__Meson","features__Dogescript","features__GCC Machine Description","features__CLIPS","features__Crystal","features__GAP","features__TeX","features__CartoCSS","features__Standard ML","features__TLA","features__Jupyter Notebook","features__Makefile","features__BitBake","features__ChucK","features__PureScript","features__NewLisp","features__Volt","features__Bluespec","features__GDB","features__QMake","features__Perl","features__SQL","features__Graphviz (DOT)","features__Smali","features__Ada","features__Haxe","features__OpenEdge ABL","features__Frege","features__Perl 6","features__TXL","features__HyPhy","features__Terra","features__Fortran","features__BlitzBasic","features__Rust","features__Idris","features__RobotFramework","features__RAML","features__C#","features__Zephir","features__F#","features__SuperCollider","features__Opa","features__ABAP","features__Processing","features__FLUX","features__Haskell","features__Nu","features__Web Ontology Language","features__COBOL","features__Io","features__Tcl","features__Lasso","features__Lua","features__Red","features__Tea","features__Golo","features__OCaml","features__KiCad Layout","features__Arc","features__Boo","features__Yacc","features__UnrealScript","features__CoffeeScript","features__Java","features__PureBasic","features__Gosu","features__VHDL","features__PLSQL","features__ApacheConf","features__Scala","features__Apex","features__XSLT","features__J","features__ANTLR","features__CSS","features__Cap'n Proto","features__AutoIt","features__Ragel","features__message","features__Kit","features__SQLPL","features__Squirrel","features__R","features__JSONiq","features__Gnuplot","features__DIGITAL Command Language","features__Lex","features__SaltStack","features__SAS","features__Prolog","features__FreeMarker","features__Swift","features__Cool","features__Smarty","features__ActionScript","features__Ioke"
"ObjectId(""5a0a8c9ceb86ad3500b3d466"")","krange","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1",""
"ObjectId(""5a0a8cc1eb86ad3500b3d467"")","gpoitch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","2","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5a0a8ccaeb86ad3500b3d468"")","cadorca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5a0a8cefeb86ad3500b3d469"")","chall8908","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5a0a8d10eb86ad3500b3d46a"")","ku","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5a0a8d1beb86ad3500b3d46b"")","alihendavi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5a0a8d2ceb86ad3500b3d46c"")","x6j8x","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","4","","","","","","","","","1","1","","","","","4","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5a0a8d4ceb86ad3500b3d46d"")","krange","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1",""
"ObjectId(""5a0a8d71eb86ad3500b3d46e"")","gpoitch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","2","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5a0a8d89eb86ad3500b3d46f"")","nickpad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","",""
