so_user_id,gh_user_id
1389358,238607
813126,166703
1291145,201864
650603,362955
138841,64480
286253,410962
1124725,14528
99000,35576
539472,44305
218955,125207
1523444,296013
457734,127012
1083428,2564
891514,202790
1266984,294081
1432968,189278
952156,125812
11558,10407
1123423,409641
1340861,411908
491746,249301
292438,352267
663770,274587
60910,1787
254533,1787
1228520,146775
1176854,488375
690539,208449
1142167,497131
1297142,343892
295958,235287
618152,120644
666333,104459
611145,54391
239003,315948
1120257,199129
823134,504850
1521535,87984
727918,25115
230778,9550
742140,402826
558208,66241
322642,77994
332094,154489
332094,26835
918314,23420
265810,23420
550349,39440
368617,288156
1276450,146430
1339655,130912
955530,158977
1302426,457050
1402067,39881
488518,39881
526232,504348
35485,203514
2128,240244
362264,423752
1449923,159926
424592,588
1393157,49861
326403,173575
232417,171917
27669,32141
343755,11247
7049,160354
449311,152234
611944,199868
336658,139746
989839,335702
358307,394776
877078,141774
479555,370070
613894,224867
535894,203086
1181285,27435
1186602,26314
643572,171113
60371,92393
1164143,177926
270329,67146
618877,263825
1209582,74832
505131,273118
245113,67569
296796,67569
1421983,144693
1550550,27878
764407,247810
297060,45868
478808,261302
216042,177994
1500471,206626
1393776,170482
219986,405882
68438,4700
476223,256990
1017691,94029
391227,74273
1497462,411825
507043,412097
903643,503883
623871,190185
1482385,274093
1489359,255888
493080,330748
1336747,109385
187381,48932
231679,48932
1218091,39345
1009282,96148
978310,292762
963481,50468
1537393,444536
1417704,123130
409315,465754
1382335,277202
812679,199606
1059905,49929
1280277,24082
696145,66112
1248812,200593
153632,39118
592153,234327
433344,360516
126372,76410
1127301,290526
992984,95257
849057,259354
1212829,203253
1089327,239676
1401606,175281
1333326,33856
1394303,33856
916221,7281
691199,40021
1015605,100536
1386767,443921
49221,22768
1108718,238450
1038191,463886
516493,172984
68255,33710
1437957,48149
603067,8006
1286366,222204
171463,143325
1070794,201433
308851,41863
791955,19615
185925,336994
659820,126302
472463,54297
930748,214759
486653,359129
206603,376226
929524,376226
1270902,97951
1270902,406597
1470360,37720
417563,37720
1302608,37720
1066871,206612
744044,445631
999458,65963
1427595,172187
186467,243618
497206,140225
1042085,53248
807092,194702
217497,65333
831001,151394
15368,172388
1399290,61122
1305056,246777
639465,145139
1132083,300041
428381,34744
1182424,219700
533543,44713
712659,29717
324834,498254
170875,213348
1052691,76896
680601,140385
993774,392322
1023927,363090
800424,270128
930460,466722
500810,227283
1166848,46181
25226,44355
1077708,283986
243258,127333
978953,192242
698573,170722
496469,167335
1109440,376423
1010995,497070
412223,497070
1372195,234129
730389,119332
753988,211915
482223,76172
1452138,133817
1538632,185475
967880,155376
1388183,134699
673896,51601
444583,348550
499296,287339
383775,28839
904329,223124
1162475,400652
1342895,236009
1517318,417329
263814,189771
248507,189771
154598,286697
1076696,39561
23246,422454
358472,120565
1049558,497944
10515,3260
1798,67075
508116,207180
6855,60968
891668,170872
670782,235555
687686,423719
306539,342911
284947,151721
899977,384761
296268,16116
1059529,285339
15495,92863
305270,267572
764206,51734
201092,127039
425947,102001
999656,39617
1460751,145179
28578,300129
1055357,159785
159462,122327
1080017,19445
230202,208037
676818,20629
50631,166799
1088037,6898
541127,48496
1201420,471577
80480,176076
375842,288648
986978,487280
268353,109481
1520042,172704
179015,30544
447719,6865
1318344,446017
549485,178994
1416789,73128
1247299,151633
466544,105398
214515,238420
903173,183275
324742,101925
11951,223633
518301,60111
785215,192233
480993,29659
28804,174863
1271991,167792
86155,160485
1141942,441922
1527717,176625
414081,284275
710784,409321
940199,310537
1264780,139416
509666,270216
156172,132971
208,33338
1144542,70405
806287,155328
888796,150524
2597,231139
1436193,256589
551684,174803
448840,174803
514603,15929
1472327,217880
1433671,407101
1178693,483269
972454,4213
925023,169891
41015,171495
542969,323150
1503483,5931
54468,80420
201991,97316
1260595,9601
1418414,375739
721710,8763
1139639,254951
1540401,317085
565812,68146
570386,188782
1138201,8179
314917,202802
511444,445325
1121770,445325
1401973,402656
615413,232037
989024,234552
590632,59290
100839,77881
443213,142828
640325,42660
1469493,404368
831164,426845
423836,271517
496776,490755
501989,40591
973897,120485
942139,478920
697231,19526
46225,390124
1215989,354382
867820,112983
1420673,37480
435190,39836
1332544,141793
547342,356720
554057,48151
4727,43204
480975,127873
747033,36672
1238591,344344
139333,348303
96342,91475
750650,71708
1422071,28368
814972,104005
773869,182366
1246182,194832
1037828,83203
3165,51933
312681,81246
153040,3842
825547,96991
1091457,316182
19258,227267
1365882,2307
1166991,2307
1429361,2307
263518,2307
189190,2307
1336972,80910
1154689,371316
1017694,271322
834775,197815
991471,147408
132317,106048
751395,60276
887686,127244
143769,221041
79803,228452
1332039,129397
437245,170946
709074,128199
226622,33956
127316,30907
1214959,277427
1214959,14768
745320,362294
297435,248988
1397207,341146
200510,38213
435025,223650
7894,137653
1253012,193792
777755,38955
1008939,182509
539430,200101
937345,390817
464706,443263
192267,334324
545550,157446
520201,157446
477010,68095
171765,27099
1479708,50604
67524,53113
1199540,124286
1509082,76233
877259,153251
667049,33133
104184,415066
808020,35127
500958,202328
405564,60307
1023415,66307
1093582,197508
1439474,355856
411767,72980
512507,187908
1135844,16805
949233,307917
1379116,264815
1384689,284744
5830,174582
692701,164825
1504567,164332
746744,330295
305409,43714
